emotion,input_text,target_text
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Have you been feeling or expressing any of these emotions to other people:
Anger,"In previous conversations, have you considered other viewpoints presented?","I would like to know, if possible, if you feel that you have always given full and careful consideration to different points of view that were presented to you in the past."
Anger,Was this caused by a specific event/s?,Did a particular situation cause this?
Sadness,Was this caused by a specific event/s?,Is this due to anything in particular?
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you, you have been really brave in sharing so far. I want to see if I can support you by understanding how you are feeling and the causes of those feelings by asking you a few more questions, is that OK with you?"
Fear,"In previous conversations, have you considered other viewpoints presented?",Do you think that you find it easy to listen to opinions that differ from yours?
Sadness,Do you feel that you are trying to control someone?,"Deep down, would you say that you feel good when you can control or manipulate someone else into doing what you want?"
Sadness,Do you believe that you should be the saviour of someone else?,Are you feeling that you must be someone else's saviour?
Fear,Was this caused by a recent or distant event (or events)?,Did this thing happen recently or is it something in the past?
Sadness,Was this caused by a recent or distant event (or events)?,Thank you so much for letting me know. Would you say that it was a recent or distant event (or events) that caused this emotion?
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"The exercises in Protocol 6 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in Protocol 6 and find them difficult or traumatic?"
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Do you feel you are always blaming and accusing yourself for when something goes wrong?
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,"Do you find that you always seem to blame yourself for the things that go wrong, even when you have no control over them?"
Anger,"In previous conversations, have you considered other viewpoints presented?","Have you taken what is going on in your life and looked at it from different perspectives? Please know that there is no right or wrong answer, you can be completely honest."
Anger,Was this caused by a specific event/s?,Was there a specific event that led up to this?
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you believe that someone else is at fault for the negative feelings you are experiencing?
Fear,Was this caused by a specific event/s?,"I understand that you may be feeling anxious, I would like to help you if you could give me some more details. Do you think this could be linked with any particular event?"
Fear,Do you feel that you are trying to control someone?,Have you noticed that you get really annoyed lately when someone does something you were hoping they wouldn't?
Fear,Do you believe that you should be the saviour of someone else?,"I'd like to investigate a little further to figure out if your anxiety has a deeper origin, if I may. Do you usually see yourself as a rescuer, tasked with saving others from their own problems and misfortunes?"
Anger,Thank you. Now I will ask some questions to understand your situation.,I appreciate you sharing this with me. I'd like to ask a few more questions to help me understand your situation.
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Are you having a particularly difficult time in your life right now, do you feel that you need help?"
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thank you. I'd like to ask you some more questions questions now, so that I can better understand your situation."
Sadness,Was this caused by a specific event/s?,"Sorry to hear that, I can relate. Are there events that led up to this?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Can you let me know if you have recently attempted Protocol 6 and found this reignited unmanageable emotions as a result of old events?
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Please try to look candidly at your emotional state now. Do you think that you may have strongly felt any of the following emotions recently:
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,I'm now going to show you a list of emotions. Please tell me if you have strongly felt or expressed any of these emotions towards someone:
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Have you felt that you have been victimized by someone else perhaps?
Sadness,"In previous conversations, have you considered other viewpoints presented?",Other people you have communicated with may have offered a few suggestions. Were any of the suggestions made by others regarding your current situation helpful to you?
Anger,Thank you. Now I will ask some questions to understand your situation.,Thanks. I hope you don't mind me asking a few more things so that I can understand better.
Fear,Was this caused by a specific event/s?,I'm sorry to hear that. Has something happened to make you feel like that?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","If I may ask, do you think it is someone else's fault for you feeling this anger?"
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thanks for your cooperation so far. If you agree, I would like to proceed with some more questions, so I can understand your situation better."
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Has anything happened recently that has made you feel alienated from your support network of friends and family?
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thank you for your honesty, I know it can be difficult. I'm just going to ask a few questions to get a better picture of your specific situation."
Fear,Do you feel that you are trying to control someone?,Do you think that you may be trying to be in charge of someone else?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Do you feel like you are in trouble, and no one can help you?"
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Is there something personal you are currently going through?
Sadness,Do you feel that you are trying to control someone?,Do you ever feel like you're attempting to control someone?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Sometimes people can be adversely affected when trying Protocol 6. Have you tried using Protocol 6 recently and found the experience distressing?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Have you done Protocol 6 recently, and felt that this triggered a feeling of anxiety?"
Fear,Do you believe that you should be the saviour of someone else?,Do you believe you can ease people of their problems?
Fear,"In previous conversations, have you considered other viewpoints presented?",Do you normally take on board the considerations of others?
Sadness,Was this caused by a specific event/s?,Did something in particular happen that led to this?
Anger,"In previous conversations, have you considered other viewpoints presented?",Would you say that you were able to really consider other viewpoints when they arose in previous conversations?
Sadness,"In previous conversations, have you considered other viewpoints presented?","In previous conversations, did you stop to listen and think about other opinions presented?"
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Do you think it's always your fault when something goes wrong in your life?
Fear,Do you believe that you should be the saviour of someone else?,I really would like to understand more about what goes on in your life at the moment. Is it that you always feel you have to be minding or rescuing someone else?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you always blame yourself when things don't go according to plan?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"It would help me greatly if you could share this with me. Have you tried out Protocol 6 recently, and if so did it cause you to feel any hard to manage emotions?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Do you feel that you are going through a difficult period of your life right now?
Sadness,"In previous conversations, have you considered other viewpoints presented?","In the past, when conversing with others, did you put yourself in their shoes?"
Sadness,"In previous conversations, have you considered other viewpoints presented?",Do you feel that you have given full consideration to other points of view in previous conversations you've had?
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you for sharing your feelings. I have a couple of questions to help me understand your situation.
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Thank you for letting me know that. Do you feel like others caused you to feel this way?
Sadness,Do you feel that you are trying to control someone?,"Could it be, perhaps, that you are displaying some kind of controlling behaviour?"
Sadness,Do you feel that you are trying to control someone?,"Would you want to control the situation, or another person?"
Fear,Was this caused by a specific event/s?,"Sorry to hear you are feeling anxious today, this must be difficult for you. Is there any particular reason why you are feeling like this today, did something happen?"
Sadness,Do you feel that you are trying to control someone?,Do you ever find yourself blaming or controlling others around you?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Have you experienced any of the following emotions lately:
Sadness,"In previous conversations, have you considered other viewpoints presented?","Have you ever reflected on other viewpoints, when these have been presented to you?"
Sadness,Was this caused by a recent or distant event (or events)?,Was this due to a recent or a more distant event or events?
Anger,Was this caused by a recent or distant event (or events)?,Thank you for sharing. Was this something that happened recently or some farther time ago?
Anger,Thank you. Now I will ask some questions to understand your situation.,I want to help. Please help me better understand your situation by answering a few more questions.
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Do you feel that you have impossible-to-solve problems in your life right now?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Have you either felt or acted out any of these emotions toward another person:
Anger,Was this caused by a recent or distant event (or events)?,Would you say a recent or distant event caused this?
Anger,Do you believe that you should be the saviour of someone else?,"With that feeling, are you having any thoughts that you should be saving another person?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Did you find Protocol 6 brought up situations causing you to become uncontrollably emotional?
Sadness,Was this caused by a specific event/s?,Can you remember if something made you feel this way?
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,"I wonder if you always feel like you caused a problem, even when it is not really your fault?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing, I'm here to listen. Please let me ask you a few more questions."
Fear,Thank you. Now I will ask some questions to understand your situation.,"You've been amazing so far and your feelings are absolutely valid, I know it can be very difficult to revisit or address anxiety or past events. Is it ok to ask some more questions to understand your situation?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you again for sharing this with me. If it's OK with you, I'd like to move onto some more questions to understand what's going on a little clearer."
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Are you working through something painful, such as a falling out with someone who is or was dear to you?"
Sadness,Was this caused by a recent or distant event (or events)?,Do you feel that the situation that is causing you to experience these feelings is recent or distant?
Sadness,Do you believe that you should be the saviour of someone else?,Do you feel the burden of responsibility for the outcome of someone else's fate?
Sadness,Do you feel that you are trying to control someone?,"Are you having any thoughts that you could be controlling someone else, or trying to control them?"
Anger,Thank you. Now I will ask some questions to understand your situation.,That is very helpful. I just have a few more questions for you today.
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,"If I may ask, have you expressed any of these emotions recently:"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Thanks for answering that. Do you feel that you are placed under undue pressure by someone?
Sadness,Do you feel that you are trying to control someone?,Do you feel you have the ability to affect someone else in your life?
Sadness,Was this caused by a specific event/s?,I'm sorry to hear you aren't feeling well. Did anything specific happen to cause you to feel this way?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Are you going through a rough patch, or a personal crisis? if so, you can tell me."
Fear,"In previous conversations, have you considered other viewpoints presented?",Do you think you are always capable of considering other people's opininions on issues and things?
Anger,Do you feel that you are trying to control someone?,Do you think you may be displaying controlling behaviour toward someone else?
Fear,Was this caused by a specific event/s?,"If you feel comfortable sharing, could you tell me if that feeling comes from something specific that happened?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,"Thanks for sharing that. If it's ok with you, I have some more questions."
Anger,Was this caused by a recent or distant event (or events)?,"Got it. How long ago was this, recently or quite some time ago?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"I'm here for you, thanks for sharing with me. Do you mind if I ask you some more questions?"
Sadness,"In previous conversations, have you considered other viewpoints presented?","In past conversations, have you really made an effort to understand others' perspectives?"
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for opening up to me, I'd like to help you let go of your negative thoughts. Could it be that you are undergoing a period of exceptional suffering right now, due to issues with family or loved ones?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I can understand how you are feeling. Have you tried Protocol 6 and found yourself feeling emotions that you can't easily manage as a result of past events?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are there any major personal problems in your life right now?
Sadness,"In previous conversations, have you considered other viewpoints presented?","During a conversation, do you usually consider other people's point of view?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel that someone is partly to blame for your negative feelings?
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for being open and honest, I want to make sure you're okay. Is your social and personal well-being suffering particularly harshly at the moment, or is anything traumatic going on in your life?"
Sadness,Do you feel that you are trying to control someone?,"Is there a power struggle involved, between you and one or more people in your life, where someone needs to win?"
Anger,Do you feel that you are trying to control someone?,"Could it be that you're trying to control someone, perhaps?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Is anyone to blame for you you feel?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,When we don't feel ourselves sometimes we can take it out on the people around us. Have you intensely felt or expressed any of the following emotions towards anyone in your life:
Sadness,Was this caused by a recent or distant event (or events)?,"Was that event recent, or was it more distant in your past?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for that, perhaps Protocol 6 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you already attempted Protocol 6 and if so, did it stir up difficult or traumatic emotions?"
Fear,Do you believe that you should be the saviour of someone else?,I'd like to investigate a bit further what may have created this feeling. Do you believe you should be the saviour of someone else? 
Sadness,Was this caused by a recent or distant event (or events)?,"I can identify with that. Now, are these feelings the result of an event that happened recently or a long time ago?"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Would you say that you have felt or shown any of these negative emotions to others:
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","OK, thanks for your answer. Do you think that your negative feelings are being caused by someone else's actions toward you?"
Anger,Was this caused by a recent or distant event (or events)?,Did this occur because of something that happened recently or long ago?
Fear,Was this caused by a recent or distant event (or events)?,"Ah, I see. Is this something that's happened recently or a while ago?"
Sadness,Was this caused by a recent or distant event (or events)?,I understand. Did this happen recently or is this something that occurred in the distant past?
Fear,Do you feel that you are trying to control someone?,Are hoping that you can influence someone or something else?
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Ok, let's explore that a little further. Do you think you might be holding others responsible for how you feel about yourself, possibly seeing yourself as a victim?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"Did you have any of these strong feelings towards someone, whether you have told them about it or not:"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"That's ok, thanks. Do you always take a situation so personally that you feel responsible for the failure and believe that it is always your fault?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Have you tried Protocol 6, and if so, do you feel it triggered these difficult feelings for you?"
Sadness,Do you feel that you are trying to control someone?,"It is always hard to stay objective when emotions are involved, but I would like you to try if you can. Are you feeling like you are always focusing more on what others are doing in life than what you are doing with life?"
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Would you say that you may be going through a bit of a crisis right now?
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel that someone has done something to harm you in any way?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I understand thinking about the past can be uncomfortable at times. Have you tried working through Protocol 6 and, if so, have you felt unable to deal with the emotions that arise?"
Sadness,Was this caused by a recent or distant event (or events)?,It is important to understand how long you have been dealing with this issue. May I ask if this was a recent or distant event?
Anger,Was this caused by a specific event/s?,"I understand, and I am sorry you feel that way. Was this caused by a specific event/s?"
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Are you experiencing any difficulty or drama in your personal life (for example in your love life, or with friends or family) right now?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are there some things in your life right now that you are struggling with in particular?
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel that you are to blame when things go wrong?
Sadness,Was this caused by a recent or distant event (or events)?,I'm sorry to hear about that. Did this happen recently or a while ago?
Fear,"In previous conversations, have you considered other viewpoints presented?",Have you properly considered the points of view and perspectives of other people who might be somehow involved in this situation?
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Are you always taking the blame when things go wrong or accuse yourself for things that happen?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"As you may know, Protocol 6 can be used to examine events like these. Have you had any experience with Protocol 6, and if so, did you find that it brought difficult emotions to the surface that were associated with past events?"
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Are you, perhaps, experiencing drama in your personal relationships (not getting along with a friend or loved one, for example)?"
Sadness,Do you believe that you should be the saviour of someone else?,Does your current worry revolve around someone you are trying to help?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Do you think that attempting Protocol 6 to think back to this event, if you have recently done so, has had a negative effect here?"
Sadness,Was this caused by a recent or distant event (or events)?,Did the event that is making you feel this way happen recently or a long time ago?
Anger,Thank you. Now I will ask some questions to understand your situation.,I would like to thank you for being so open. If you don't mind I will now ask you some more questions.
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Do you reckon that thinking back to the event now could damage you?
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for being so open, I'm trying to determine the best way to help and know how hard it is to revisit trauma. I would like to know if Protocol 6 proved too painful for you?"
Anger,Do you believe that you should be the saviour of someone else?,"Do you feel responsible for saving another person, a loved one perhaps?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you for your answer. I would now like to ask you if you feel that you are the victim, and someone else is to blame for making you feel this way."
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Have you felt or spoken to anyone else about feeling any of these emotions:
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you, I'd like to know more about how you are feeling in general. Are you by any chance experiencing personal difficulties at present?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing your feelings with me. To understand your situation I would now like, with your permission, to ask you some questions."
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing that with me, I know it can be tough to be honest about such things. Now I will ask you a few questions to get a better idea of your current situation."
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Do you always take responsibility when something goes wrong, even when it might not be your fault at all?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you recently tried Protocol 6 and found that it brought all those bad feelings back?
Sadness,Do you feel that you are trying to control someone?,"Thank you for your response, that's helpful. Trying to look at yourself from the outside, do you feel that you are controlling or trying to control someone else's behaviour?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Are other people to blame for you feeling sad?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you, noted, let's explore further if that's ok. Sometimes things might go wrong or not work out; when this happens, do you feel as though you are always the one at fault?"
Fear,Thank you. Now I will ask some questions to understand your situation.,I am glad you were able to open up to me. I hope we could delve in further to this matter.
Anger,Do you feel that you are trying to control someone?,Do you feel you are putting too much effort into trying to change the way other people behave?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Would you say that the way you're feeling can be attributed to someone else?
Anger,Do you feel that you are trying to control someone?,"Sometimes we regret that we don't always have our life under control, and try to control others as a result. Do you feel that you may be trying to control someone?"
Sadness,Do you believe that you should be the saviour of someone else?,Do you believe you should be saving someone?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Have you expressed or felt any of these negative emotions towards yourself or others in the recent past:
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for being open with me, I really appreciate that. May I ask if you are experiencing some issues with loved ones or friends, or have you dealt with any other major distressing event?"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,"Thank you, I can relate to your current feeling of anger and want to help by investigating some more. Have you expressed or experienced any of these negative emotions:"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you, then we need to look elsewhere for the cause of your negative feelings. Is it other people that caused you to feel this way, for example someone in your family or at work?"
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Have you had any recent major issues with friends or family that may have caused these negative feelings?
Fear,Thank you. Now I will ask some questions to understand your situation.,Thank you. To understand your situation more clearly I would like to ask you some more questions.
Anger,Was this caused by a specific event/s?,"Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Is it due to a particular event?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Have you had or expressed any of the following strong emotions toward someone else:
Sadness,Was this caused by a specific event/s?,"Thank you for letting me know, I am terribly sorry you are feeling that way. May I ask if something specific caused this feeling?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I understand, thank you. Could it be perhaps that you see yourself as the victim in this circumstance?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are there any major issues or fallouts with the people you are closest to right now?
Sadness,Was this caused by a specific event/s?,Do you feel that your current emotion may have been caused by a specific event or events?
Fear,"In previous conversations, have you considered other viewpoints presented?","I understand how you are feeling and do not wish to offend you in any way, but I do need to ask about how you engage with other people and their ideas. Have you considered other people's viewpoints in previous discussions you've had, both about this issue and about other subjects?"
Sadness,Was this caused by a specific event/s?,I'm sorry about that. Was this caused by a specific event/s?
Sadness,Thank you. Now I will ask some questions to understand your situation.,"I appreciate your openness. I have a few more things I'd like to understand, if that's ok."
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel that your negative feelings or experiences are your own fault?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,"Feeling anxious can be mixed up with other emotions too, and I'd like to see if you recognise any of the ones in this list, or if they seem familiar to you. Have you experienced any of the following emotions strongly as of late:"
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,"Sometimes we feel strong emotions that are not becoming of us; it's ok to feel them, but it's worth reflecting upon them. Do you think you may have expressed any of the following negative emotions towards someone recently:"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing with me, I appreciate the trust you've placed in me. I'd like to ask you a few more questions about your situation, if that's okay with you."
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Do you always blame yourself a lot for your mistakes?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 can be a difficult exercise in some situations, so I'm trying to determine if it's right for you. Did you give Protocol 6 a try and find that it was too difficult?"
Fear,"In previous conversations, have you considered other viewpoints presented?",Do you always consider other people's viewpoints whenever they present them to you?
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Has someone hurt you, or worried you, and are you upset with them because they have caused you so much trouble?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Could it be, perhaps, that you are avoiding responsibility for your actions and just blaming someone else for your feelings right now?"
Fear,"In previous conversations, have you considered other viewpoints presented?",Have you tried to think of your current situation from the point of view of the people whom you love?
Anger,Do you believe that you should be the saviour of someone else?,Do you believe that helping or saving someone from their own problems would make you feel better about yourself and calm this feeling?
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thank you for answering so patiently, I understand it can be difficult. I would like to ask some more questions so that I can suggest the best course of action, if that's ok."
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Before we go further, I'd like to understand whether Protocol 6 could be an option for you. Could you tell me if you've already tried Protocol 6 and if that triggered any angry feelings?"
Anger,Do you believe that you should be the saviour of someone else?,"Looking at yourself, do you believe your current emotions are caused by your desire to be someone else's saviour?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Have you been bothered by feeling any of these emotions toward another person:
Sadness,Was this caused by a specific event/s?,Did something happen that caused this?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,I would like to know if you have been feeling any of these emotions towards someone:
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Thank you. Would you say that you are facing a hard time in your personal life?
Anger,Do you believe that you should be the saviour of someone else?,Do you ever feel like you are looking out for others' needs more than your own?
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Please remember this is a safe space and I am here to help you feel better. If I may ask, do you feel that you are undergoing a personal crisis right now (for example experiencing difficulties with loved ones or falling out with friends)?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel like someone else is to blame for the negativity you feel?
Fear,Was this caused by a recent or distant event (or events)?,Did this happen recently or a long time ago?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for that; I think that Protocol 6 could help you deal with this event, however some people have reported that this protocol can be rather intense. Have you already tried Protocol 6, and if so did it stir up difficult or traumatic emotions?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel that people are being unfair to you?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,"Have you, recently, experienced any of these emotions towards someone else:"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you feel you are always taking the blame for when a situation goes wrong?
Fear,Do you believe that you should be the saviour of someone else?,"Do you feel like you have to be a saviour to others, or that others always expect your help?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Did you try Protocol 6 and found it sparked strong negative feelings because of past events?
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thank you for responding. Next, there will be some questions so we can get a better understanding of your situation."
Anger,Was this caused by a specific event/s?,I can see that you're upset. Can you think of any specific event that triggered these feelings?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Do you feel like you're currently experiencing intense personal difficulties, possibly with your loved ones or friends?"
Sadness,Was this caused by a recent or distant event (or events)?,"Oh, I see. Did this happen recently or before?"
Fear,"In previous conversations, have you considered other viewpoints presented?","I am wondering, have you tried to listen carefully and consider other viewpoints put forward by those that you love?"
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,"Thank you for staying with me on this. In the past, have you ever felt or acted on any of the following emotions towards someone:"
Sadness,Do you believe that you should be the saviour of someone else?,"Is being someone else's saviour important to you, and will it do you good?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you very much for sharing this with me, I know that it is not an easy thing to do. If you feel up to it, I would like to ask you some more questions so that I can get a better understanding of your situation."
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Would you say that you tend to blame others for anything that goes wrong?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you experiencing major difficulties or challenges in your relationships with others right now?
Anger,Was this caused by a specific event/s?,Could you tell me if there was a particular situation that caused this?
Fear,Was this caused by a recent or distant event (or events)?,"I'm sorry that happened to you, it's hard to go through something distressing. Did this occur recently or a while back?"
Anger,Thank you. Now I will ask some questions to understand your situation.,"I'm sorry to hear that you're going through all this. Now I will ask you some more questions to understand what is going on, I hope that will be fine."
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Sometimes we can become overwhelmed with negative emotions. Have you had any experience of these emotions toward someone:
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you very much. I would now like to delve more into understanding your dilemma by asking you some additional questions.
Anger,Thank you. Now I will ask some questions to understand your situation.,I appreciate that you're trying to work out your anger. Let's get answers to some questions so we can understand your situation better.
Sadness,Was this caused by a recent or distant event (or events)?,Would you say this is the result from an event from the recent or distant past?
Anger,"In previous conversations, have you considered other viewpoints presented?","In all honesty, do you think that you are always available to consider alternatives to your point of view?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thanks. I'd like to ask you some more questions now, if you let me."
Sadness,Thank you. Now I will ask some questions to understand your situation.,"I appreciate your efforts, even though it must be hard for you. I've got some questions now to help understand your situation."
Fear,Was this caused by a specific event/s?,"Oh, that's not good. Is this to do with any particular event that has occurred?"
Fear,Do you feel that you are trying to control someone?,"Thanks, it's ok to just say yes or no, because it helps me work out your feelings more clearly. Is there a relationship in your life where you might be trying to have a little bit too much control over them?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Do you feel people you adore and care about are not understanding what you are going through during this difficult time?
Fear,Do you believe that you should be the saviour of someone else?,Do you feel that the people around you may benefit from your help?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,There are some emotions that I'd like to know if they have been present in your life recently. Do you identify with any of these emotions:
Fear,"In previous conversations, have you considered other viewpoints presented?",Do you think that you have listened carefully enough to what other people in your life may have been trying to tell you?
Sadness,Do you believe that you should be the saviour of someone else?,Do you find it difficult to be in a position where you cannot help someone else?
Anger,Do you believe that you should be the saviour of someone else?,Could it be that you feel angry for not being able to help someone else?
Anger,Are you always blaming and accusing yourself for when something goes wrong?,"When things go wrong around you, do you find that you always or often position yourself as the one to blame?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 can sometimes upset people, so I wonder if that has happened to you. Is Protocol 6 something you have tried and found yourself upset as a result of it?"
